Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Vadnais Heights,MO,12,12533,,0,,5,15,396,46,298,52,,.0,,39.9,119.7,3159.7,367.0,2377.7,414.9
Van Buren County Sheriff Department,MO,11,,52,0,20,1,31,234,75,139,20,,,,,,,,,
Van Buren Twp Police Dept,MO,12,28548,107,1,19,10,77,801,170,559,72,374.8,3.5,66.6,35.0,269.7,2805.8,595.5,1958.1,252.2
Vassar Police Dept,MO,12,2685,2,0,0,0,2,26,2,24,0,74.5,.0,.0,.0,74.5,968.3,74.5,893.9,.0
Vernon Police Dept,MO,8,775,0,0,0,0,0,2,2,0,0,,,,,,,,,
Vicksburg Police Dept,MO,12,2929,3,0,0,0,3,95,19,74,2,102.4,.0,.0,.0,102.4,3243.4,648.7,2526.5,68.3
City Of Vinita Park Police Dept,MO,12,1883,7,0,1,1,5,43,11,31,1,371.7,.0,53.1,53.1,265.5,2283.6,584.2,1646.3,53.1
Virginia City Police Dept,MO,12,8769,,0,,9,28,517,53,449,15,,.0,,102.6,319.3,5895.8,604.4,5120.3,171.1
Wabasha County Sheriff Office,MO,12,,,0,,0,3,53,12,38,3,,,,,,,,,
Wabasha Police Dept,MO,12,2529,,0,,0,2,73,16,54,3,,.0,,.0,79.1,2886.5,632.7,2135.2,118.6
Wadena County Sheriff Office,MO,12,,,0,,0,6,72,24,43,5,,,,,,,,,
Wadena Police Dept,MO,12,4086,,0,,0,0,10,3,7,0,,.0,,.0,.0,244.7,73.4,171.3,.0
Waite Park Police Dept,MO,12,6790,,0,,5,18,656,41,604,11,,.0,,73.6,265.1,9661.3,603.8,8895.4,162.0
Walker Police Dept,MO,12,23783,46,1,5,7,33,819,75,724,20,193.4,4.2,21.0,29.4,138.8,3443.6,315.4,3044.2,84.1
Walled Lake Police Dept,MO,12,7049,12,0,2,0,10,104,18,83,3,170.2,.0,28.4,.0,141.9,1475.4,255.4,1177.5,42.6
Warren Police Dept,MO,12,134340,715,0,91,148,476,3787,999,2049,739,532.2,.0,67.7,110.2,354.3,2819.0,743.6,1525.2,550.1
Warroad Police Dept,MO,12,1781,,0,,0,3,34,3,30,1,,.0,,.0,168.4,1909.0,168.4,1684.4,56.1
Waseca County Sheriff Office,MO,12,,,0,,0,1,93,51,39,3,,,,,,,,,
Waseca Police Dept,MO,12,9538,,0,,3,12,200,24,170,6,,.0,,31.5,125.8,2096.9,251.6,1782.3,62.9
Wash County Sheriff Office,MO,12,,,0,,0,20,960,222,695,43,,,,,,,,,
Washtenaw County Sheriff Department,MO,12,,446,1,66,67,312,2217,878,1172,167,,,,,,,,,
Waterford Twp Police Dept,MO,12,72224,141,0,19,32,90,1341,298,948,95,195.2,.0,26.3,44.3,124.6,1856.7,412.6,1312.6,131.5
Watervliet Police Dept,MO,12,1737,7,0,2,0,5,34,2,31,1,403.0,.0,115.1,.0,287.9,1957.4,115.1,1784.7,57.6
Watonwan County Sheriff Department,MO,12,,,0,,0,4,34,9,20,5,,,,,,,,,
Wayne City Police Dept,MO,12,17427,119,0,18,23,78,557,141,341,75,682.8,.0,103.3,132.0,447.6,3196.2,809.1,1956.7,430.4
Wayzata Police Dept,MO,12,3764,,0,,0,2,120,15,103,2,,.0,,.0,53.1,3188.1,398.5,2736.5,53.1
Wells Police Dept,MO,12,2351,,0,,0,0,17,2,15,0,,.0,,.0,.0,723.1,85.1,638.0,.0
West Bloomfield Police Dept,MO,12,65157,36,2,2,9,23,690,148,530,12,55.3,3.1,3.1,13.8,35.3,1059.0,227.1,813.4,18.4
West Branch Police Dept,MO,12,2129,7,0,2,0,5,80,9,68,3,328.8,.0,93.9,.0,234.9,3757.6,422.7,3194.0,140.9
West Hennepin Public Safety Dept,MO,12,5380,,0,,0,0,60,13,44,3,,.0,,.0,.0,1115.2,241.6,817.8,55.8
West St Paul Police Dept,MO,12,19834,,0,,17,35,931,103,737,91,,.0,,85.7,176.5,4694.0,519.3,3715.8,458.8
Westland Police Dept,MO,12,83299,338,1,61,80,196,2410,575,1505,330,405.8,1.2,73.2,96.0,235.3,2893.2,690.3,1806.7,396.2
Wexford County Sheriff Department,MO,12,,14,0,8,1,5,277,49,224,4,,,,,,,,,
Wheaton Police Dept,MO,12,1419,,0,,0,0,15,2,11,2,,.0,,.0,.0,1057.1,140.9,775.2,140.9
White Bear Lake Police Dept,MO,12,24241,,0,,6,28,790,174,539,77,,.0,,24.8,115.5,3258.9,717.8,2223.5,317.6
White Cloud Police Dept,MO,12,1407,8,0,2,0,6,66,13,51,2,568.6,.0,142.1,.0,426.4,4690.8,924.0,3624.7,142.1
White Lake Twp Police Dept,MO,12,30236,24,0,6,2,16,434,57,359,18,79.4,.0,19.8,6.6,52.9,1435.4,188.5,1187.3,59.5
White Pigeon Police Dept,MO,12,1519,2,0,2,0,0,18,1,16,1,131.7,.0,131.7,.0,.0,1185.0,65.8,1053.3,65.8
Whitehall Police Dept,MO,12,2694,7,0,3,2,2,64,12,50,2,259.8,.0,111.4,74.2,74.2,2375.6,445.4,1856.0,74.2
Wilkin County Sheriff Department,MO,12,,,0,,0,2,35,8,27,0,,,,,,,,,
Williamston Police Dept,MO,12,3868,4,0,2,1,1,29,7,21,1,103.4,.0,51.7,25.9,25.9,749.7,181.0,542.9,25.9
Willmar Police Dept,MO,12,19708,,0,,8,34,593,73,502,18,,.0,,40.6,172.5,3008.9,370.4,2547.2,91.3
Windom City Police Dept,MO,12,4676,,0,,0,5,88,31,52,5,,.0,,.0,106.9,1882.0,663.0,1112.1,106.9
Winnebago Police Dept,MO,12,1442,,0,,0,0,37,11,24,2,,.0,,.0,.0,2565.9,762.8,1664.4,138.7
Winona County Sheriff Department,MO,12,,,0,,1,3,95,12,76,7,,,,,,,,,
Winona Police Dept,MO,12,27731,,0,,7,21,498,91,380,27,,.0,,25.2,75.7,1795.8,328.2,1370.3,97.4
Winsted Police Dept,MO,12,2357,,0,,0,2,34,5,27,2,,.0,,.0,84.9,1442.5,212.1,1145.5,84.9
Wixom Police Dept,MO,12,13597,39,0,4,4,31,328,43,254,31,286.8,.0,29.4,29.4,228.0,2412.3,316.2,1868.1,228.0
Wolverine Lake Police Dept,MO,12,4343,1,0,0,1,0,33,8,25,0,23.0,.0,.0,23.0,.0,759.8,184.2,575.6,.0
Woodbury Police Dept,MO,12,63190,,0,,7,11,1448,193,1207,48,,.0,,11.1,17.4,2291.5,305.4,1910.1,76.0
Woodhaven City Police Dept,MO,12,12752,16,0,2,4,10,235,15,201,19,125.5,.0,15.7,31.4,78.4,1842.8,117.6,1576.2,149.0
Worthington Police Dept,MO,12,12858,,0,,2,18,206,45,150,11,,.0,,15.6,140.0,1602.1,350.0,1166.6,85.5
Wright County Sheriff Department,MO,12,,,0,,7,44,1828,169,1587,72,,,,,,,,,
Wyandotte Police Dept,MO,12,25637,36,0,4,7,25,733,129,542,62,140.4,.0,15.6,27.3,97.5,2859.1,503.2,2114.1,241.8
Wyoming Police Dept,MO,12,72886,313,1,46,59,207,1571,480,947,144,429.4,1.4,63.1,80.9,284.0,2155.4,658.6,1299.3,197.6
Wyoming Police Dept,MO,12,7847,,0,,0,2,89,15,63,11,,.0,,.0,25.5,1134.2,191.2,802.9,140.2
Yellow Medicine County Sheriff Department,MO,12,,,0,,0,3,19,7,11,1,,,,,,,,,
Ypsilanti Police Dept,MO,12,19610,171,2,19,41,109,968,373,557,38,872.0,10.2,96.9,209.1,555.8,4936.3,1902.1,2840.4,193.8
Zeeland Police Dept,MO,12,5560,11,0,4,0,7,102,39,61,2,197.8,.0,71.9,.0,125.9,1834.5,701.4,1097.1,36.0
Zilwaukee Police Dept,MO,12,1650,0,0,0,0,0,16,2,13,1,.0,.0,.0,.0,.0,969.7,121.2,787.9,60.6
Zumbrota Police Dept,MO,12,3277,,0,,0,4,57,13,36,8,,.0,,.0,122.1,1739.4,396.7,1098.6,244.1
Aberdeen Police Dept,MS,12,5571,19,0,0,10,9,187,54,128,5,341.1,.0,.0,179.5,161.6,3356.7,969.3,2297.6,89.8
Ackerman Police Dept,MS,12,1490,0,0,0,0,0,9,4,3,2,.0,.0,.0,.0,.0,604.0,268.5,201.3,134.2
Adams County Sheriff Department,MS,12,,21,1,0,4,16,372,143,228,1,,,,,,,,,
Adams County Sheriff Office,MS,12,,1,0,0,0,1,138,47,83,8,,,,,,,,,
Amory Police Dept,MS,12,7261,8,0,1,1,6,293,86,203,4,110.2,.0,13.8,13.8,82.6,4035.3,1184.4,2795.8,55.1
Antelope County Sheriff Office,MS,12,,4,2,0,0,2,14,4,10,0,,,,,,,,,
Arthur County Sheriff Department,MS,12,,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ashland Police Dept,MS,12,2479,2,0,0,0,2,7,0,6,1,80.7,.0,.0,.0,80.7,282.4,.0,242.0,40.3
Auburn City Police Dept,MS,12,3499,4,0,4,0,0,19,3,13,3,114.3,.0,114.3,.0,.0,543.0,85.7,371.5,85.7
Aurora Police Dept,MS,12,4484,7,0,1,0,6,46,21,24,1,156.1,.0,22.3,.0,133.8,1025.9,468.3,535.2,22.3
Baker Police Dept,MS,12,1792,0,0,0,0,0,21,3,18,0,.0,.0,.0,.0,.0,1171.9,167.4,1004.5,.0
Batesville Police Dept,MS,4,7458,3,1,1,0,1,297,73,222,2,,,,,,,,,
City Of Bay St Louis Police Dept,MS,12,9428,26,4,4,11,7,384,77,290,17,275.8,42.4,42.4,116.7,74.2,4073.0,816.7,3075.9,180.3
Bayard Police Dept,MS,7,1206,0,0,0,0,0,4,0,4,0,,,,,,,,,
Beatrice Police Dept,MS,12,12388,37,0,9,2,26,452,104,342,6,298.7,.0,72.7,16.1,209.9,3648.7,839.5,2760.7,48.4
Beaverhead County Sheriff Office,MS,12,,3,1,0,1,1,29,7,21,1,,,,,,,,,
Belgrade Police Dept,MS,12,7601,18,0,5,1,12,227,28,190,9,236.8,.0,65.8,13.2,157.9,2986.4,368.4,2499.7,118.4
Bellevue City Police Dept,MS,12,51678,55,1,20,13,21,1142,155,890,97,106.4,1.9,38.7,25.2,40.6,2209.8,299.9,1722.2,187.7
Belzoni Police Dept,MS,12,2225,3,0,0,0,3,11,0,11,0,134.8,.0,.0,.0,134.8,494.4,.0,494.4,.0
Bennington Police Dept,MS,12,1491,0,0,0,0,0,12,2,9,1,.0,.0,.0,.0,.0,804.8,134.1,603.6,67.1
Big Horn County Sheriff Office,MS,12,,28,0,6,1,21,107,4,89,14,,,,,,,,,
Billings Police Dept,MS,12,106371,370,3,38,68,261,4812,793,3608,411,347.8,2.8,35.7,63.9,245.4,4523.8,745.5,3391.9,386.4
Biloxi Police Dept,MS,12,45037,188,1,30,85,72,2267,732,1420,115,417.4,2.2,66.6,188.7,159.9,5033.6,1625.3,3153.0,255.3
Blaine County Sheriff Department,MS,12,,19,0,1,0,18,27,3,22,2,,,,,,,,,
Blair City Police Dept,MS,12,8069,7,0,2,2,3,124,19,92,13,86.8,.0,24.8,24.8,37.2,1536.7,235.5,1140.2,161.1
Bolivar County Sheriff Department,MS,5,,1,0,0,1,0,13,6,6,1,,,,,,,,,
Boulder Police Dept,MS,12,1189,2,0,0,0,2,8,0,8,0,168.2,.0,.0,.0,168.2,672.8,.0,672.8,.0
Box Butte County Sheriff Department,MS,12,,0,0,0,0,0,5,0,5,0,,,,,,,,,
Boyd County Sheriff Office,MS,3,,0,0,0,0,0,0,0,0,0,,,,,,,,,
Bozeman Police Dept,MS,12,38289,98,1,30,8,59,1326,134,1136,56,255.9,2.6,78.4,20.9,154.1,3463.1,350.0,2966.9,146.3
Brandon Police Dept,MS,12,22079,6,0,3,2,1,235,111,110,14,27.2,.0,13.6,9.1,4.5,1064.4,502.7,498.2,63.4
Bridgeport Police Dept,MS,6,1543,0,0,0,0,0,18,3,15,0,,,,,,,,,
Bridger Police Dept,MS,12,709,1,0,0,0,1,7,2,5,0,141.0,.0,.0,.0,141.0,987.3,282.1,705.2,.0
Broadwater County Sheriff Office,MS,12,,16,0,2,0,14,44,3,40,1,,,,,,,,,
Broken Bow Police Dept,MS,12,3571,2,0,1,0,1,61,8,49,4,56.0,.0,28.0,.0,28.0,1708.2,224.0,1372.2,112.0
Brookhaven Police Dept,MS,12,12547,14,1,0,7,6,227,58,165,4,111.6,8.0,.0,55.8,47.8,1809.2,462.3,1315.1,31.9
Brown County Sheriff Department,MS,12,,0,0,0,0,0,39,11,25,3,,,,,,,,,
Buffalo County Sheriff Office,MS,12,,12,0,3,1,8,138,35,100,3,,,,,,,,,
Burt County Sheriff Office,MS,11,,1,0,0,0,1,26,8,16,2,,,,,,,,,
Butler County Sheriff Office,MS,9,,2,0,0,1,1,36,3,31,2,,,,,,,,,
Byhalia,MS,12,1289,3,0,0,2,1,50,11,35,4,232.7,.0,.0,155.2,77.6,3879.0,853.4,2715.3,310.3
Village Of Calverton Park Police Dept,MS,12,1294,3,0,1,1,1,16,6,8,2,231.8,.0,77.3,77.3,77.3,1236.5,463.7,618.2,154.6
Carbon County Sheriff Department,MS,12,,13,0,1,0,12,47,12,30,5,,,,,,,,,
Carter County Sheriff Office,MS,12,,0,0,0,0,0,2,1,1,0,,,,,,,,,
Carthage Police Dept,MS,12,5037,12,0,0,3,9,48,17,30,1,238.2,.0,.0,59.6,178.7,952.9,337.5,595.6,19.9
Cascade County Sheriff Office,MS,12,,39,0,6,1,32,327,71,229,27,,,,,,,,,
Cass County Sheriff Department,MS,12,,20,0,12,0,8,309,53,233,23,,,,,,,,,
Cedar County Sheriff Office,MS,12,,4,0,0,0,4,34,1,33,0,,,,,,,,,
Central City Police Dept,MS,12,2912,0,0,0,0,0,60,5,52,3,.0,.0,.0,.0,.0,2060.4,171.7,1785.7,103.0
Chadron Police Dept,MS,12,5901,7,0,3,2,2,164,16,140,8,118.6,.0,50.8,33.9,33.9,2779.2,271.1,2372.5,135.6
Charleston Police Dept,MS,12,2184,11,0,0,10,1,70,27,43,0,503.7,.0,.0,457.9,45.8,3205.1,1236.3,1968.9,.0
Chase County Sheriff Department,MS,12,,2,0,0,0,2,24,5,18,1,,,,,,,,,
Cherry County Sheriff Office,MS,12,,2,0,0,0,2,17,4,12,1,,,,,,,,,
Chickasaw County Sheriff Office,MS,10,,17,1,2,3,11,50,25,24,1,,,,,,,,,
Choctaw County Sheriff Office,MS,12,,12,0,2,0,10,57,16,40,1,,,,,,,,,
Chouteau County Sheriff Department,MS,12,,1,0,0,0,1,11,1,9,1,,,,,,,,,
Claiborne County Sheriff Department,MS,12,,24,2,5,3,14,227,126,80,21,,,,,,,,,
Clarksdale Police Dept,MS,5,17837,10,0,1,2,7,384,302,80,2,,,,,,,,,
Clay County Sheriff Office,MS,9,,4,1,0,0,3,30,21,9,0,,,,,,,,,
Cleveland Police Dept,MS,12,12228,51,0,4,28,19,848,127,698,23,417.1,.0,32.7,229.0,155.4,6934.9,1038.6,5708.2,188.1
Clinton Police Dept,MS,12,25573,30,0,8,12,10,650,169,432,49,117.3,.0,31.3,46.9,39.1,2541.7,660.9,1689.3,191.6
Collins Town Police Dept,MS,7,2600,0,0,0,0,0,30,19,9,2,,,,,,,,,
Columbia City Police Dept,MS,12,6534,24,0,4,7,13,222,76,146,0,367.3,.0,61.2,107.1,199.0,3397.6,1163.1,2234.5,.0
Columbia Falls Police Dept,MS,12,4740,4,0,0,0,4,131,4,124,3,84.4,.0,.0,.0,84.4,2763.7,84.4,2616.0,63.3
Columbus Police Dept,MS,12,23650,100,1,4,16,79,1145,336,773,36,422.8,4.2,16.9,67.7,334.0,4841.4,1420.7,3268.5,152.2
Columbus Police Dept,MS,12,1909,8,0,0,1,7,38,4,32,2,419.1,.0,.0,52.4,366.7,1990.6,209.5,1676.3,104.8
Columbus Police Dept,MS,12,22537,20,0,7,2,11,475,68,389,18,88.7,.0,31.1,8.9,48.8,2107.6,301.7,1726.1,79.9
Como Town Police Dept,MS,12,1278,8,0,1,2,5,31,10,20,1,626.0,.0,78.2,156.5,391.2,2425.7,782.5,1564.9,78.2
Conrad Police Dept,MS,12,2634,8,0,0,0,8,35,1,32,2,303.7,.0,.0,.0,303.7,1328.8,38.0,1214.9,75.9
Cozad Police Dept,MS,12,4014,1,0,0,0,1,41,8,30,3,24.9,.0,.0,.0,24.9,1021.4,199.3,747.4,74.7
Crete Police Dept,MS,12,7077,10,0,2,2,6,217,62,148,7,141.3,.0,28.3,28.3,84.8,3066.3,876.1,2091.3,98.9
Crystal Springs Police Dept,MS,12,5022,16,1,0,1,14,122,50,66,6,318.6,19.9,.0,19.9,278.8,2429.3,995.6,1314.2,119.5
Cuming County Sheriff Office,MS,12,,0,0,0,0,0,22,7,15,0,,,,,,,,,
Custer County Sheriff Office,MS,12,,2,0,0,0,2,35,3,28,4,,,,,,,,,
Custer County Sheriff Office,MS,12,,6,0,0,0,6,48,11,36,1,,,,,,,,,
Cut Bank Police Dept,MS,12,2939,15,0,2,0,13,104,30,72,2,510.4,.0,68.1,.0,442.3,3538.6,1020.8,2449.8,68.1
Dakota County Sheriff Office,MS,12,,4,0,0,0,4,27,7,16,4,,,,,,,,,
Daniels County Sheriff Office,MS,12,,2,0,0,0,2,5,0,5,0,,,,,,,,,
Dawes County Sheriff Office,MS,12,,3,0,0,0,3,14,2,11,1,,,,,,,,,
Dawson County Sheriff Department,MS,12,,7,0,0,0,7,100,14,78,8,,,,,,,,,
Dawson County Sheriff Office,MS,12,,8,0,3,0,5,73,12,55,6,,,,,,,,,
Deer Lodge,MS,12,,27,1,5,0,21,178,13,157,8,,,,,,,,,
Desoto County Sheriff Office,MS,8,,6,0,2,1,3,292,124,156,12,,,,,,,,,
Deuel County Sheriff Department,MS,12,,1,0,0,0,1,26,5,21,0,,,,,,,,,
Dillon Police Dept,MS,12,4142,4,0,0,0,4,43,5,34,4,96.6,.0,.0,.0,96.6,1038.1,120.7,820.9,96.6
Dixon County Sheriff Department,MS,12,,9,0,3,0,6,84,25,57,2,,,,,,,,,
Dodge County Sheriff Office,MS,12,,4,0,2,0,2,168,29,125,14,,,,,,,,,
Douglas County Sheriff Office,MS,12,,100,0,8,5,87,1207,331,777,99,,,,,,,,,
Village Of Duquesne Police Dept,MS,12,1781,5,0,0,0,5,57,14,39,4,280.7,.0,.0,.0,280.7,3200.4,786.1,2189.8,224.6
East Helena Police Dept,MS,12,2055,1,0,0,0,1,16,1,11,4,48.7,.0,.0,.0,48.7,778.6,48.7,535.3,194.6
Edwards Police Dept,MS,11,1053,3,0,0,1,2,12,7,5,0,,,,,,,,,
Ennis Police Dept,MS,12,841,0,0,0,0,0,2,0,2,0,.0,.0,.0,.0,.0,237.8,.0,237.8,.0
Eupora City Police Dept,MS,12,2217,6,0,0,1,5,35,13,21,1,270.6,.0,.0,45.1,225.5,1578.7,586.4,947.2,45.1
Eureka Police Dept,MS,12,1038,1,0,1,0,0,28,2,24,2,96.3,.0,96.3,.0,.0,2697.5,192.7,2312.1,192.7
Fallon County Sheriff Office,MS,12,,0,0,0,0,0,4,0,4,0,,,,,,,,,
Falls City Police Dept,MS,12,4346,4,0,0,0,4,46,9,36,1,92.0,.0,.0,.0,92.0,1058.4,207.1,828.3,23.0
Fergus County Sheriff Department,MS,12,,12,0,1,0,11,58,12,42,4,,,,,,,,,
Flathead County Sheriff Department,MS,12,,150,0,12,5,133,1258,318,878,62,,,,,,,,,
Florence Police Dept,MS,12,4214,4,0,1,0,3,48,28,20,0,94.9,.0,23.7,.0,71.2,1139.1,664.5,474.6,.0
Flowood Police Dept,MS,12,7956,41,0,6,4,31,474,93,375,6,515.3,.0,75.4,50.3,389.6,5957.8,1168.9,4713.4,75.4
Forrest County Sheriff Department,MS,7,,13,0,3,4,6,132,70,62,0,,,,,,,,,
Fort Benton Police Dept,MS,12,1470,5,0,0,0,5,11,0,9,2,340.1,.0,.0,.0,340.1,748.3,.0,612.2,136.1
Franklin County Sheriff Office,MS,12,,20,1,1,3,15,63,49,7,7,,,,,,,,,
Franklin County Sheriff Office,MS,12,,0,0,0,0,0,15,4,11,0,,,,,,,,,
Fremont Police Dept,MS,12,26641,29,0,10,1,18,693,104,555,34,108.9,.0,37.5,3.8,67.6,2601.3,390.4,2083.3,127.6
Fulton Police Dept,MS,12,3962,3,0,0,2,1,85,7,78,0,75.7,.0,.0,50.5,25.2,2145.4,176.7,1968.7,.0
Gage County Sheriff Department,MS,12,,5,0,0,0,5,124,32,83,9,,,,,,,,,
Gallatin County Sheriff Department,MS,12,,52,0,16,1,35,380,54,309,17,,,,,,,,,
Garfield County Sheriff Office,MS,12,,0,0,0,0,0,1,1,0,0,,,,,,,,,
Gautier Police Dept,MS,12,18643,61,2,5,16,38,640,199,399,42,327.2,10.7,26.8,85.8,203.8,3432.9,1067.4,2140.2,225.3
George County Sheriff Department,MS,12,,8,2,1,0,5,82,32,48,2,,,,,,,,,
Gering Police Dept,MS,12,8578,3,0,0,0,3,138,23,109,6,35.0,.0,.0,.0,35.0,1608.8,268.1,1270.7,69.9
Glacier County Sheriff Office,MS,12,,33,1,0,0,32,65,9,48,8,,,,,,,,,
Glasgow City Police Dept,MS,12,3324,6,0,3,0,3,42,4,33,5,180.5,.0,90.3,.0,90.3,1263.5,120.3,992.8,150.4
Glendive Police Dept,MS,12,4981,13,1,1,0,11,192,29,154,9,261.0,20.1,20.1,.0,220.8,3854.6,582.2,3091.7,180.7
Gloster Police Dept,MS,9,958,6,1,0,1,4,3,1,1,1,,,,,,,,,
Golden Valley County Sheriff Office,MS,12,,2,0,0,0,2,2,2,0,0,,,,,,,,,
Gordon Police Dept,MS,12,1600,12,0,2,0,10,31,2,28,1,750.0,.0,125.0,.0,625.0,1937.5,125.0,1750.0,62.5
Gosper County Sheriff Department,MS,12,,1,0,1,0,0,31,5,25,1,,,,,,,,,
Gothenburg Police Dept,MS,12,3608,6,0,3,0,3,70,5,61,4,166.3,.0,83.1,.0,83.1,1940.1,138.6,1690.7,110.9
Grand Island Police Dept,MS,12,49583,162,0,40,21,101,2305,367,1859,79,326.7,.0,80.7,42.4,203.7,4648.8,740.2,3749.3,159.3
Granite County Sheriff Office,MS,12,,0,0,0,0,0,50,3,45,2,,,,,,,,,
Great Falls Police Dept,MS,12,59360,151,1,10,25,115,2788,320,2338,130,254.4,1.7,16.8,42.1,193.7,4696.8,539.1,3938.7,219.0
Greene County Sheriff Department,MS,12,,3,0,0,0,3,27,10,11,6,,,,,,,,,
Greenville Police Dept,MS,10,33981,80,7,18,39,16,2010,835,1112,63,,,,,,,,,
Greenwood Police Dept,MS,12,15010,109,1,23,36,49,871,286,577,8,726.2,6.7,153.2,239.8,326.4,5802.8,1905.4,3844.1,53.3
Grenada County Sheriff Department,MS,12,,20,0,0,0,20,128,67,50,11,,,,,,,,,
Grenada Police Dept,MS,9,13001,56,5,4,16,31,406,158,238,10,,,,,,,,,
Gulfport Police Dept,MS,12,69369,122,3,16,60,43,3174,817,2225,132,175.9,4.3,23.1,86.5,62.0,4575.5,1177.8,3207.5,190.3
Hall County Sheriff Department,MS,12,,6,0,2,0,4,228,49,168,11,,,,,,,,,
Hamilton Police Dept,MS,12,4404,29,1,3,0,25,229,21,200,8,658.5,22.7,68.1,.0,567.7,5199.8,476.8,4541.3,181.7
Hamilton County Sheriff Department,MS,12,,0,0,0,0,0,88,44,43,1,,,,,,,,,
Harrison County Sheriff Department,MS,12,,43,5,5,11,22,1155,410,682,63,,,,,,,,,
Hastings Police Dept,MS,12,24961,57,0,24,10,23,911,149,726,36,228.4,.0,96.1,40.1,92.1,3649.7,596.9,2908.5,144.2
Hattiesburg Police Dept,MS,12,46726,118,5,13,66,34,2668,375,2183,110,252.5,10.7,27.8,141.2,72.8,5709.9,802.6,4671.9,235.4
Havre Police Dept,MS,12,9667,62,0,15,1,46,434,28,381,25,641.4,.0,155.2,10.3,475.8,4489.5,289.6,3941.2,258.6
Hazelwood Police Dept,MS,12,25743,88,2,3,23,60,995,178,737,80,341.8,7.8,11.7,89.3,233.1,3865.1,691.5,2862.9,310.8
Heidelberg Police Dept,MS,12,708,1,0,0,0,1,11,3,6,2,141.2,.0,.0,.0,141.2,1553.7,423.7,847.5,282.5
Helena Police Dept,MS,12,28791,127,0,26,12,89,1015,122,861,32,441.1,.0,90.3,41.7,309.1,3525.4,423.7,2990.5,111.1
Henrietta Police Dept,MS,12,367,2,0,0,0,2,5,2,3,0,545.0,.0,.0,.0,545.0,1362.4,545.0,817.4,.0
Henry County Sheriff Office,MS,12,,40,0,3,1,36,362,130,213,19,,,,,,,,,
Herculaneum Police Dept,MS,12,3486,2,0,0,0,2,73,10,59,4,57.4,.0,.0,.0,57.4,2094.1,286.9,1692.5,114.7
Hermann City Police Dept,MS,12,2427,2,0,0,0,2,71,13,58,0,82.4,.0,.0,.0,82.4,2925.4,535.6,2389.8,.0
Hernando Police Dept,MS,10,14364,4,0,2,2,0,102,0,99,3,,,,,,,,,
Hickory County Sheriff Department,MS,12,,1,0,1,0,0,137,55,77,5,,,,,,,,,
Higginsville Police Dept,MS,12,4783,2,0,2,0,0,120,26,85,9,41.8,.0,41.8,.0,.0,2508.9,543.6,1777.1,188.2
High Hill Police Dept,MS,9,196,0,0,0,0,0,0,0,0,0,,,,,,,,,
Hill County Sheriff Department,MS,12,,22,0,1,0,21,158,12,135,11,,,,,,,,,
Hillsboro Police Dept,MS,12,2833,10,0,3,1,6,74,10,61,3,353.0,.0,105.9,35.3,211.8,2612.1,353.0,2153.2,105.9
Hillsdale Police Dept,MS,12,1480,35,1,1,1,32,46,19,23,4,2364.9,67.6,67.6,67.6,2162.2,3108.1,1283.8,1554.1,270.3
Hinds County Sheriff Department,MS,12,,34,3,1,5,25,469,230,183,56,,,,,,,,,
Hitchcock County Sheriff Department,MS,12,,2,0,1,0,1,23,18,4,1,,,,,,,,,
Holcomb Police Dept,MS,12,637,0,0,0,0,0,0,0,0,0,.0,.0,.0,.0,.0,.0,.0,.0,.0
Holden Police Dept,MS,12,2294,15,0,0,0,15,132,18,103,11,653.9,.0,.0,.0,653.9,5754.1,784.7,4490.0,479.5
Holdrege Police Dept,MS,12,5531,3,0,1,0,2,119,10,104,5,54.2,.0,18.1,.0,36.2,2151.5,180.8,1880.3,90.4
Hollandale City Police Dept,MS,11,2670,20,1,0,0,19,41,26,12,3,,,,,,,,,
Hollister Police Dept,MS,12,4525,24,0,2,2,20,131,37,89,5,530.4,.0,44.2,44.2,442.0,2895.0,817.7,1966.9,110.5
Holly Springs Police Dept,MS,12,7654,94,1,2,21,70,293,98,185,10,1228.1,13.1,26.1,274.4,914.6,3828.1,1280.4,2417.0,130.7
Holt County Sheriff Office,MS,12,,3,0,0,0,3,72,29,38,5,,,,,,,,,
Holt Police Dept,MS,12,453,1,0,0,1,0,6,0,4,2,220.8,.0,.0,220.8,.0,1324.5,.0,883.0,441.5
Holt County Sheriff Office,MS,12,,2,0,0,0,2,21,6,15,0,,,,,,,,,
Holts Summit Police Dept,MS,12,3260,22,1,1,0,20,48,18,27,3,674.8,30.7,30.7,.0,613.5,1472.4,552.1,828.2,92.0
Hooker County Sheriff Department,MS,12,,0,0,0,0,0,0,0,0,0,,,,,,,,,
Horn Lake Police Dept,MS,12,26576,24,1,2,14,7,686,155,505,26,90.3,3.8,7.5,52.7,26.3,2581.3,583.2,1900.2,97.8
Hornersville Police Dept,MS,7,666,10,0,0,0,10,76,7,66,3,,,,,,,,,
Hot Springs Police Dept,MS,12,549,3,0,0,0,3,17,1,16,0,546.4,.0,.0,.0,546.4,3096.5,182.1,2914.4,.0
