"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"160",65905,44469,11639,359,75,670,168,363,419,436,432,4690,1129,3308,1286,4877,2085,419,601,65070,"16000US2430325","frederick"
"161",749950,654576,66958,1847,746,1564,5150,4049,6712,6612,4003,91553,16609,32417,14250,42520,20167,6131,4951,78668,"04043US24","westernmaryland"
"162",303714,245398,7945,3034,9041,6820,7398,5990,2518,2879,886,27604,462,9911,6967,10064,2096,762,521,15184,"31000US10380","capecod"
"163",303714,245398,7945,3034,9041,6820,7398,5990,2518,2879,886,27604,462,9911,6967,10064,2096,762,521,15184,"31000US10380","southcoast"
"164",115124,85133,7687,50,78,129,159,42,235,327,438,2596,1180,3329,1318,9015,6644,2406,3877,53351,"16000US2603000","annarbor"
"165",52112,37726,9293,129,50,137,238,212,293,667,179,5278,1396,2554,786,2213,905,317,199,36051,"16000US2605920","battlecreek"
"166",9879277,7835838,1387599,34061,9139,18865,49920,42921,74629,87624,55350,985126,239334,519076,230289,498786,213946,66786,41443,47175,"04000US26","centralmich"
"167",706522,85614,577270,4243,1654,3797,5380,5067,10005,14375,6247,72807,12553,34384,9304,12207,5327,1612,1053,25576,"16000US2622000","detroit"
"168",101423,39965,56147,428,58,176,485,924,1055,1252,739,12507,2214,5218,1443,2005,649,131,58,24758,"16000US2629000","flint"
"169",189162,130933,39816,948,648,1239,1082,1018,1503,2076,952,13677,3314,9477,3464,9978,3499,1320,794,37791,"16000US2634000","grandrapids"
"170",33449,23737,7647,37,29,65,271,266,378,383,79,3080,902,1726,645,819,189,109,12,26586,"16000US2641420","jacksonmi"
"171",74689,52894,16201,113,29,113,406,248,446,422,243,4005,1567,4028,1155,3350,1254,398,633,31109,"16000US2642160","kalamazoo"
"172",113594,70092,25035,615,214,382,566,317,818,1544,460,8213,3220,6392,2810,5033,1985,524,425,34420,"16000US2646000","lansing"
"173",20631,18868,NA,84,22,0,98,97,91,190,82,2243,619,1007,593,653,155,95,116,43311,"16000US2655020","monroemi"
"174",37431,21555,12156,264,114,46,559,300,360,637,181,5515,887,1605,848,951,222,84,45,25531,"16000US2656320","muskegon"
"175",9879277,7835838,1387599,34061,9139,18865,49920,42921,74629,87624,55350,985126,239334,519076,230289,498786,213946,66786,41443,47175,"04000US26","northernmichigan"
"176",29893,25144,2769,119,27,13,77,203,205,439,227,3656,874,1623,706,780,414,97,44,31527,"16000US2665820","porthuron"
