"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"6486","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"6487","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6488","Torrance, CA, USA","Torrance","CA",144622,75885,72992,4207,255,102,350,354,286,408,594,992,8106,2143,7724,4126,15137,5256,1558,1372
"6489","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6491","Richmond-San Rafael Bridge, CA, USA","Richmond-San Rafael Bridge","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6492","Santa Maria Joint Union High, CA, USA","Santa Maria Joint Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6493","Oakland, CA, USA","Oakland","CA",389397,51144,151984,109252,3608,2513,6326,3018,3487,2470,2643,3167,24599,4476,19458,6435,26261,11483,4061,3344
"6494","Hayward, CA, USA","Hayward","CA",142936,62115,52674,16291,1222,593,2238,1437,968,728,1108,1362,13386,2375,6847,3044,7281,2016,334,238
"6495","Dublin, IN, USA","Dublin","IN",537,30363,535,0,0,4,11,0,0,22,6,0,88,13,14,10,24,0,0,0
"5211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5213","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"6500","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6501","Emeryville, CA, USA","Emeryville","CA",9698,69274,4273,1339,0,0,0,0,9,0,54,43,493,81,382,81,1689,731,336,459
"6502","Fresno, CA, USA","Fresno","CA",489922,43440,264601,36614,5248,3651,7508,4056,3400,3572,4714,4073,31355,7881,23548,9431,18205,4717,2650,1409
"6503","Mira Mesa, San Diego, CA, USA","Mira Mesa","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6504","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"6505","Newport Boulevard, Costa Mesa, CA, USA","Newport Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6506","Walnut Creek, CA, USA","Walnut Creek","CA",64168,84722,51766,1507,140,18,197,72,29,104,52,158,1847,953,2924,1343,8067,3848,1583,1009
"6507","Hayward, CA, USA","Hayward","CA",142936,62115,52674,16291,1222,593,2238,1437,968,728,1108,1362,13386,2375,6847,3044,7281,2016,334,238
"6508","Sunnyvale, CA, USA","Sunnyvale","CA",138436,93292,61676,2481,280,485,1156,507,350,467,445,718,5341,1460,5228,3056,14723,11189,981,2978
