"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"3514","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2602","Clovis, CA, USA","Clovis","CA",93304,65300,64531,2909,533,124,178,244,188,518,469,555,5570,1598,5758,2740,5874,1948,804,304
"3518","Montague Expressway, CA, USA","Montague Expressway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3519","Tempe Union High School District, AZ, USA","Tempe Union High School District","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521","Seattle, WA, USA","Seattle","WA",603174,61856,425715,46734,2313,761,1827,2109,1653,1981,2513,3527,27124,9879,29377,14230,72131,29340,11291,8072
"3522","Lakewood, CO, USA","Lakewood","CO",142732,54918,124032,2963,311,463,514,505,605,821,1001,1050,11883,3087,7971,3330,11772,4011,1082,723
"2607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2608","Interstate 10, San Bernardino, CA, USA","Interstate 10","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2610","Long Beach, CA, USA","Long Beach","CA",462197,52945,229779,62231,3459,2440,5966,2775,3355,2655,3443,4052,29227,7163,25364,9755,26689,8674,3007,2047
"3528","Palm Springs Unified, CA, USA","Palm Springs Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3530","San Leandro Bay, California, USA","San Leandro Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3531","Monterey Peninsula Unified, CA, USA","Monterey Peninsula Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3532","Fresno, CA, USA","Fresno","CA",489922,43440,264601,36614,5248,3651,7508,4056,3400,3572,4714,4073,31355,7881,23548,9431,18205,4717,2650,1409
"3533","Rialto Unified, CA, USA","Rialto Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3535","San Ramon Valley Boulevard, CA, USA","San Ramon Valley Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"3537","Milpitas, CA, USA","Milpitas","CA",66038,94589,14415,2329,263,157,310,187,343,250,647,533,4542,1149,2893,2169,6014,2942,171,492
"3538","South San Francisco Unified, CA, USA","South San Francisco Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2621","Santa Rosa, CA, USA","Santa Rosa","CA",164976,60850,128974,3809,1025,636,2111,916,845,991,1420,1392,11200,2849,9844,3806,9888,3478,1623,727
"3543","California, USA","California","California",36969200,61632,22860341,2252129,243288,214702,486253,235044,262942,214373,290957,316667,2464139,637004,1837959,816783,2216682,842685,313017,217408
"3544","San Jose Unified, CA, USA","San Jose Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3547","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"2625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2626","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"3552","Glendale Unified, CA, USA","Glendale Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554","South Sacramento Freeway, CA, USA","South Sacramento Freeway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3555","San Fernando Valley, CA, USA","San Fernando Valley","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3556","BART, CA, USA","BART","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2632","Tahoe Rim Trail, USA","Tahoe Rim Trail","Tahoe Rim Trail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3560","Midtown, Sacramento, CA, USA","Midtown","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3561","Woodland Hills, Los Angeles, CA, USA","Woodland Hills","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"2636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2638","Emeryville, CA, USA","Emeryville","CA",9698,69274,4273,1339,0,0,0,0,9,0,54,43,493,81,382,81,1689,731,336,459
"3566","Dublin Unified, CA, USA","Dublin Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567","Las Vegas, NV, USA","Las Vegas","NV",584413,54174,411006,64496,2111,2348,6318,4296,5097,4149,5390,5239,54869,12296,33424,12050,26685,8770,3856,1870
"3568","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"3569","San Francisco Bay Area, CA, USA","San Francisco Bay Area","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","West Barbara Avenue, AZ, USA","West Barbara Avenue","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","Reno, NV, USA","Reno","NV",223558,49700,176883,7284,695,709,1407,1259,1763,1278,1957,1507,17532,4109,14000,4964,13043,4293,2166,1293
"2645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2646","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"3574","Birmingham, AL, USA","Birmingham","AL",214348,31898,49662,158251,853,444,909,1420,1670,2241,3070,1825,20177,3049,11446,3857,7990,2888,1632,692
"3575","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"3576","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"3577","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"3580","Interstate 285, GA, USA","Interstate 285","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","Hanford Joint Union High, CA, USA","Hanford Joint Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","Ames, IA, USA","Ames","IA",58158,42062,49673,2118,28,0,11,66,54,94,57,70,1423,582,1778,933,4301,1802,438,1806
"3583","Castro Valley Unified, CA, USA","Castro Valley Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","Valley Boulevard, CA, USA","Valley Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"2657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2658","Clovis, CA, USA","Clovis","CA",93304,65300,64531,2909,533,124,178,244,188,518,469,555,5570,1598,5758,2740,5874,1948,804,304
"3590","South Santa Rosa Avenue, CA, USA","South Santa Rosa Avenue","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","Thomas L Berkley Way, Oakland, CA, USA","Thomas L Berkley Way","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2662","Avondale, AZ, USA","Avondale","AZ",73148,59953,55123,6476,329,298,517,958,510,494,779,706,5291,1699,2863,1696,2653,929,196,26
"3594","Bellevue, WA, USA","Bellevue","WA",121134,84503,78124,2973,251,208,185,240,191,223,283,257,4522,1576,4834,2245,16418,8034,2127,1569
"3595","Cupertino, CA, USA","Cupertino","CA",57459,124825,19864,221,71,21,131,17,79,33,43,28,830,335,900,495,5894,6647,737,2028
"3597","Sunnyvale, CA, USA","Sunnyvale","CA",138436,93292,61676,2481,280,485,1156,507,350,467,445,718,5341,1460,5228,3056,14723,11189,981,2978
"3598","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"2667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2668","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"3601","Inglewood, CA, USA","Inglewood","CA",109967,44021,25874,48250,836,1280,2553,872,992,600,1405,1112,7030,1730,5737,2013,3310,896,386,96
"3602","Sunnyvale, CA, USA","Sunnyvale","CA",138436,93292,61676,2481,280,485,1156,507,350,467,445,718,5341,1460,5228,3056,14723,11189,981,2978
"2671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2672","Pleasanton, CA, USA","Pleasanton","CA",69220,118713,47055,1733,178,120,32,68,178,37,135,189,2719,816,2746,1913,7209,3770,784,1186
"3605","Lakewood, WA, USA","Lakewood","WA",58688,42273,38300,6932,150,31,262,258,397,233,507,540,5515,1932,3261,1840,2642,981,409,255
"3606","South Los Angeles, Los Angeles, CA, USA","South Los Angeles","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607","Manteca Unified, CA, USA","Manteca Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3608","Perris, CA, USA","Perris","CA",65993,49812,28887,8153,709,458,1531,661,588,377,775,1023,4841,1059,2002,752,1066,292,69,22
"2677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679","North San Jose, San Jose, CA, USA","North San Jose","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613","Marysville, CA, USA","Marysville","CA",12248,37836,8710,698,63,51,117,99,50,161,361,146,1135,322,767,309,311,3,13,10
"3615","Walnut Creek, California, USA","Walnut Creek","California",64168,84722,51766,1507,140,18,197,72,29,104,52,158,1847,953,2924,1343,8067,3848,1583,1009
"2682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2683","Walnut Creek, Cary, NC, USA","Walnut Creek","NC",943,131875,905,10,0,0,4,0,0,0,0,0,17,9,43,17,112,37,81,14
"3619","Milpitas, CA, USA","Milpitas","CA",66038,94589,14415,2329,263,157,310,187,343,250,647,533,4542,1149,2893,2169,6014,2942,171,492
"3620","California 237, CA, USA","California 237","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621","Fairfield, CA, USA","Fairfield","CA",104404,68037,49176,17332,494,314,852,368,464,622,687,826,7360,2161,5958,3064,4677,1122,400,326
"3622","Santa Clara Unified, CA, USA","Santa Clara Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623","Seattle, WA, USA","Seattle","WA",603174,61856,425715,46734,2313,761,1827,2109,1653,1981,2513,3527,27124,9879,29377,14230,72131,29340,11291,8072
"2689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2690","Ceres Unified, CA, USA","Ceres Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","Walnut Creek, California, USA","Walnut Creek","California",64168,84722,51766,1507,140,18,197,72,29,104,52,158,1847,953,2924,1343,8067,3848,1583,1009
"3629","Idaho, USA","Idaho","Idaho",1549987,46890,1431372,8823,4620,3087,7141,8494,6780,9599,10116,8289,134457,36704,87518,38707,80939,26691,9535,7047
"2693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2694","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"2695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2698","Downey, CA, USA","Downey","CA",111329,59773,61886,4148,568,667,1624,818,1183,644,1328,1383,9577,2024,4751,2617,4594,1259,404,283
"3638","Ontario Freeway, Rancho Cucamonga, CA, USA","Ontario Freeway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3639","Santa Ynez Mountains, California, USA","Santa Ynez Mountains","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2702","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"3642","San Francisco Bicycle Route 30, San Francisco, CA, USA","San Francisco Bicycle Route 30","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2706","Whittier Union High, CA, USA","Whittier Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2708","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"3649","Walnut Creek, California, USA","Walnut Creek","California",64168,84722,51766,1507,140,18,197,72,29,104,52,158,1847,953,2924,1343,8067,3848,1583,1009
"3650","Woodland Hills, Los Angeles, CA, USA","Woodland Hills","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3651","Reno, NV, USA","Reno","NV",223558,49700,176883,7284,695,709,1407,1259,1763,1278,1957,1507,17532,4109,14000,4964,13043,4293,2166,1293
"3652","Cupertino, CA, USA","Cupertino","CA",57459,124825,19864,221,71,21,131,17,79,33,43,28,830,335,900,495,5894,6647,737,2028
"2713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2714","Berkeley, CA, USA","Berkeley","CA",111008,60908,68230,10310,187,71,251,143,209,285,343,181,3023,706,3911,1257,10415,6300,2556,4048
"2715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2717","Sherman Way, Los Angeles, CA, USA","Sherman Way","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2719","Simi Valley, CA, USA","Simi Valley","CA",122864,89452,91865,1469,328,239,709,261,402,391,558,931,8470,2283,7960,3445,8665,2835,849,546
"3660","Pleasant Hill Road, CA, USA","Pleasant Hill Road","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3661","Alta Arden Expressway, CA, USA","Alta Arden Expressway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3662","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"3664","Montague Expressway, San Jose, CA, USA","Montague Expressway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3666","San Diego, CA, USA","San Diego","CA",21495,89604,17704,1103,30,24,69,16,93,69,79,89,1133,413,1580,766,1685,834,273,214
"3667","Baraga, MI, USA","Baraga","MI",2582,28333,1243,773,6,11,11,143,46,49,158,18,753,28,94,15,55,6,0,0
"3668","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"3670","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"3671","Fairfield, CA, USA","Fairfield","CA",104404,68037,49176,17332,494,314,852,368,464,622,687,826,7360,2161,5958,3064,4677,1122,400,326
"3672","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"3674","Dallas, TX, USA","Dallas","TX",1196258,42259,658119,293675,10260,10411,24759,10820,20133,10123,11963,7356,79935,13500,46894,15952,67825,24870,12100,4890
"3675","Oakland, CA, USA","Oakland","CA",389397,51144,151984,109252,3608,2513,6326,3018,3487,2470,2643,3167,24599,4476,19458,6435,26261,11483,4061,3344
"3676","Fresno, CA, USA","Fresno","CA",489922,43440,264601,36614,5248,3651,7508,4056,3400,3572,4714,4073,31355,7881,23548,9431,18205,4717,2650,1409
"3677","Washington, DC, USA","Washington","DC",593955,61835,231122,308516,2457,1926,2646,3558,3307,3504,4694,3129,36556,5826,19621,5148,43929,29107,16964,8650
"3678","La Crescenta Avenue, Glendale, CA, USA","La Crescenta Avenue","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3679","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"3680","Fremont Unified, CA, USA","Fremont Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3681","Portland, OR, USA","Portland","OR",576543,50177,446191,36588,1817,1302,2414,2516,2407,3064,3218,3921,39887,12343,33634,12620,50956,18608,8588,4505
"3682","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"2739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2740","Santa Rosa, CA, USA","Santa Rosa","CA",164976,60850,128974,3809,1025,636,2111,916,845,991,1420,1392,11200,2849,9844,3806,9888,3478,1623,727
"3685","South Bay Freeway, CA, USA","South Bay Freeway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3686","West Hollywood, CA, USA","West Hollywood","CA",34564,52303,29169,633,195,73,5,19,20,68,131,137,2232,631,3014,887,6976,1728,1191,302
"3687","Denver, CO, USA","Denver","CO",590507,47499,434767,59945,2644,2450,5784,4169,4369,3521,4456,3699,40660,9859,27262,9383,50007,20511,8803,3259
"2744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2748","Reno, NV, USA","Reno","NV",223558,49700,176883,7284,695,709,1407,1259,1763,1278,1957,1507,17532,4109,14000,4964,13043,4293,2166,1293
"3694","Greenback Lane, Citrus Heights, CA, USA","Greenback Lane","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"3697","Las Vegas, NV, USA","Las Vegas","NV",584413,54174,411006,64496,2111,2348,6318,4296,5097,4149,5390,5239,54869,12296,33424,12050,26685,8770,3856,1870
"2752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2753","Jackson, MI, USA","Jackson","MI",33986,29589,24773,7238,50,47,79,278,284,486,346,239,2997,931,1981,740,951,259,107,22
"3700","Hanford Joint Union High, CA, USA","Hanford Joint Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3701","San Mateo Union High, CA, USA","San Mateo Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3702","Jackson, MS, USA","Jackson","MS",174774,34567,33783,138031,572,327,480,1078,1157,1980,1841,1443,13730,1691,8323,2167,6400,2433,1952,731
"3703","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"2758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2759","Clayton Road, CA, USA","Clayton Road","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2761","San Diego, CA, USA","San Diego","CA",21495,89604,17704,1103,30,24,69,16,93,69,79,89,1133,413,1580,766,1685,834,273,214
"3709","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"3710","North San Jose, San Jose, CA, USA","North San Jose","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2765","Bakersfield, CA, USA","Bakersfield","CA",339761,54656,213665,27914,1987,1984,3637,2066,2214,2258,3450,3655,24585,6586,16297,6975,11709,4088,1927,859
"3713","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"2767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
